device,strategy,candidate_id,family,policy_label,n_runs,renewal_annual_cost,median_annual_cost,p90_annual_cost,median_lifetime_days,p10_lifetime_days,p90_lifetime_days,right_censored_share,eol_within_2y_probability,medium_maintenances_per_year,major_maintenances_per_year,mean_simulated_permeability,mean_annual_below_threshold_days,label,medium_gap,major_gap,medium_between_major,medium_trigger,major_trigger,fouling_trigger,reserve_threshold,min_gap,max_gap
A5,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,300,318.83810732828846,321.29951230897746,365.348450134771,432.0,369.9,504.30000000000007,0.0,0.9966666666666667,3.384055681593252,4.868924813861779,41.35005600480785,1.0133333333333334,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4.0,55.0,42.0,,,35.0,150.0
A5,状态触发,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,300,203.28805644604387,208.53033350313407,248.9536513291342,577.0,485.9,716.1000000000003,0.0,0.9133333333333333,6.244133069836118,0.0,46.2352047381494,2.3633333333333333,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0
A6,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,300,123.29203440391086,121.98419595402068,159.77203482045704,1278.0,882.7,1658.1,0.0,0.07,3.9310837626156436,2.0917781486543316,56.0671485571798,28.576666666666668,,,,,,,,,,
A6,优化固定周期,F06,固定周期,每60日维护，6次中维护后大维护,300,106.24714700896101,108.52638537021292,146.6045069535555,1356.0,926.8,1792.2000000000003,0.0,0.07,5.052816662630177,0.9562490917897797,56.971589611923534,27.69333333333333,每60日维护，6次中维护后大维护,60.0,60.0,6.0,,,,,21.0,150.0
A6,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,300,125.3960812782184,126.4836526834713,153.52922259702322,1417.0,1095.6,1823.2,0.0,0.0033333333333333335,4.972542171789451,2.8833662644150424,55.086367399455824,8.273333333333333,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4.0,55.0,42.0,,,35.0,150.0
A6,状态触发,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,300,91.87977682067346,93.54350173705183,115.74576663545854,1459.0,1257.9,2005.1,0.0,0.0,6.375110937092144,0.10408020099190812,58.40581009118949,26.84,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0
A7,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,300,143.88972426210987,143.67572553860361,226.61506021911052,934.0,538.9,1294.3000000000002,0.0,0.28,5.413499152662053,0.965867285694111,47.19737767048645,34.68,,,,,,,,,,
A7,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,300,130.3135091070492,132.18574147309846,157.93491620111732,1103.0,894.9,1411.4,0.0,0.04,6.973724031652746,1.0904135013432787,49.91446595165253,22.696666666666665,每45日维护，6次中维护后大维护,45.0,45.0,6.0,,,,,21.0,150.0
A7,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,300,163.49616968623576,163.13279802074942,199.04553200703938,1084.0,873.9,1362.4,0.0,0.016666666666666666,4.829561651978238,4.109558194687904,48.84971535537849,12.813333333333333,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4.0,55.0,42.0,,,35.0,150.0
A7,状态触发,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,300,120.2632252243344,117.03033432538751,149.09066370486823,1262.0,917.8,1513.200000000003,0.0,0.0033333333333333335,9.766364670110992,0.056180423371979,50.812654272562014,19.276666666666667,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0
A8,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,300,273.40901371311946,280.7859375,375.5872641509434,435.0,316.0,587.0,0.0,0.99,5.087615734705887,1.107304601083046,40.52933722518398,5.546666666666667,,,,,,,,,,
A8,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,300,241.45632432225747,240.2221153846154,308.74387426638884,520.0,396.7,642.4000000000001,0.0,0.98,6.987601804764271,0.9170936412648644,44.32971724645158,2.8233333333333333,每45日维护，6次中维护后大维护,45.0,45.0,6.0,,,,,21.0,150.0
A8,透水率触发,T18,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限90日,300,298.9069488979989,303.4185319659449,345.2407596676218,486.0,408.8,589.0,0.0,0.9933333333333333,3.2220237853634774,5.571827941713682,43.05439450588939,1.2533333333333334,7日均值≤55/42触发中/大维护，冷却35日，上限90日,,,4.0,55.0,42.0,,,35.0,90.0
A8,状态触发,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,300,223.66390319258497,225.53688524590163,268.06625313406767,560.0,462.0,684.2,0.0,0.96,9.717788730322201,0.08812858614094454,46.335836550924995,1.55,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0
A9,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,300,74.55703253232824,71.31990027236643,201.16142230388093,2463.0,616.0,3864.1,0.0,0.17,5.564273276767957,0.8569773854290602,53.87544798566757,35.11333333333334,,,,,,,,,,
A9,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,300,69.14420463896809,68.72216284047532,87.46682174338883,3204.0,2042.0,4211.0,0.0,0.04,6.969447527733654,1.107142971057483,56.4897566579093,39.016666666666666,每45日维护，6次中维护后大维护,45.0,45.0,6.0,,,,,21.0,150.0
A9,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,300,85.95513853276722,84.73477350156678,106.64704783967835,3219.0,2383.7,4201.1,0.0,0.02666666666666667,5.330251424774994,2.986654607551048,52.9925307401939,27.593333333333334,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4.0,55.0,42.0,,,35.0,150.0
A9,状态触发,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,300,57.04679410791789,54.304101607717044,81.874091562549,3267.0,2502.8,4221.1,0.0,0.0033333333333333335,5.797988745102884,0.574995117829686,55.20193702514223,42.02,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4.0,,,20.0,50.0,35.0,150.0
A10,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,300,439.736150167858,441.1712560318707,505.58623068741605,267.0,231.9,312.1,0.0,1.0,4.70119730436183,1.5338843947821563,35.781976501771034,1.0,,,,,,,,,,
A10,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,300,402.3528819813272,407.6339590443686,450.70471698113204,293.0,265.0,341.1,0.0,1.0,6.697713423156482,1.225191479845698,36.39513751867708,1.0,每45日维护，6次中维护后大维护,45.0,45.0,6.0,,,,,21.0,150.0
A10,透水率触发,T18,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限90日,300,452.0879154251662,448.2613636363636,541.4406561666832,289.0,245.0,337.5000000000001,0.0,1.0,5.131749942699978,4.997805409122164,36.17401831004155,1.0,7日均值≤55/42触发中/大维护，冷却35日，上限90日,,,4.0,55.0,42.0,,,35.0,90.0
A10,状态触发,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,300,382.3751452081316,384.22402597402595,430.4026895053476,308.0,272.0,356.20000000000005,0.0,1.0,9.56635204904808,0.007857373346240723,36.48640075537109,1.0,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0
A1,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,300,80.14900078459071,81.46841947518377,98.82578335463575,1779.0,1412.6,2363.3,0.0,0.0,6.74540714068567,0.0059840970198295745,64.61246234644778,14.223333333333333,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0
A2,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,300,190.86628649679187,192.8909023668639,232.53605587234247,676.0,542.0,898.0,0.0,0.6933333333333334,10.021036765346315,0.1449250466946028,43.995418034401,12.16,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0
A3,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,300,69.36588244669822,70.31037463895333,84.96924839384762,2093.0,1663.9,2750.1,0.0,0.0,5.833478148511512,0.08308509716415001,56.42454353295604,28.336666666666666,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0
A4,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,300,67.49442454901563,68.43552468452464,83.833850871791,2089.0,1672.6000000000001,2746.3,0.0,0.0,5.492696101672291,0.04819629269909366,70.66516349725316,25.44333333333333,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0
A5,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,300,203.28805644604387,208.53033350313407,248.9536513291342,577.0,485.9,716.1000000000003,0.0,0.9133333333333333,6.244133069836118,0.0,46.2352047381494,2.3633333333333333,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0
A6,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,300,91.87977682067346,93.54350173705183,115.74576663545854,1459.0,1257.9,2005.1,0.0,0.0,6.375110937092144,0.10408020099190812,58.40581009118949,26.84,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0
A7,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,300,120.2632252243344,117.03033432538751,149.09066370486823,1262.0,917.8,1513.200000000003,0.0,0.0033333333333333335,9.766364670110992,0.056180423371979,50.812654272562014,19.276666666666667,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0
A8,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,300,223.66390319258497,225.53688524590163,268.06625313406767,560.0,462.0,684.2,0.0,0.96,9.717788730322201,0.08812858614094454,46.335836550924995,1.55,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0
A9,推荐混合方案,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,300,57.04679410791789,54.304101607717044,81.874091562549,3267.0,2502.8,4221.1,0.0,0.0033333333333333335,5.797988745102884,0.574995117829686,55.20193702514223,42.02,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4.0,,,20.0,50.0,35.0,150.0
A10,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,300,382.3751452081316,384.22402597402595,430.4026895053476,308.0,272.0,356.20000000000005,0.0,1.0,9.56635204904808,0.007857373346240723,36.48640075537109,1.0,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0
