device,strategy,candidate_id,family,policy_label,n_runs,renewal_annual_cost,median_annual_cost,p90_annual_cost,median_lifetime_days,p10_lifetime_days,p90_lifetime_days,right_censored_share,eol_within_2y_probability,medium_maintenances_per_year,major_maintenances_per_year,mean_simulated_permeability,mean_annual_below_threshold_days,label,medium_gap,major_gap,medium_between_major,medium_trigger,major_trigger,fouling_trigger,reserve_threshold,min_gap,max_gap,damage_share
A10,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,300,382.3751452081316,384.224025974026,430.4026895053476,308.0,272.0,356.20000000000005,0.0,1.0,9.56635204904808,0.0078573733462407,36.48640075537109,1.0,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0,0.2
A1,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,119.61737566468565,117.05167767397384,206.96363039134783,1239.0,614.2,1909.1000000000004,0.0,0.22,4.852522101312085,1.2386859391205571,60.351240166269974,10.72,,,,,,,,,,,0.0
A1,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,82.62251031481377,83.5996871733749,102.28563972493772,1758.0,1341.8,2103.5,0.0,0.0,6.781474311874753,0.028901260385463177,64.45044332663558,18.59,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.0
A2,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,264.57469680264603,235.34638268454302,462.12787524366485,517.0,246.6,672.4000000000001,0.0,0.98,5.879437706725468,0.44297133406835715,37.85696539887029,16.22,,,,,,,,,,,0.0
A2,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,100,185.190100545141,187.34844709598175,225.58269294498862,705.0,574.0,904.1,0.0,0.56,9.879446654057963,0.2641291650442232,44.05677181423561,16.16,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0,0.0
A3,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,93.1992791686888,90.8283724446397,151.6949174382099,1807.0,895.7,2390.8,0.0,0.07,5.007081275514574,1.3012989237488939,54.80907959813541,30.25,,,,,,,,,,,0.0
A3,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,73.02428020986233,71.36028239609104,92.9706840099192,2019.0,1474.4,2395.3,0.0,0.0,5.786952780973539,0.110486422422343,56.18709657963118,29.23,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.0
A4,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,85.30130123713678,85.86624300636322,100.1577816726782,2004.0,1621.3,2741.3,0.0,0.01,5.323677190629515,1.2750891241426578,70.98406959468466,19.26,,,,,,,,,,,0.0
A4,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,69.91995197190865,70.18889591979698,84.50915818645038,2008.0,1637.6,2734.7000000000003,0.0,0.0,5.358074088046664,0.07066368728053629,70.2775139557599,33.23,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.0
A5,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,309.33594819220144,320.2506338376551,401.094277810134,382.0,302.9,516.5,0.0,1.0,3.5355276581979247,2.17221365118073,38.80260673727451,1.11,,,,,,,,,,,0.0
A5,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,208.66084076941777,214.40725255639686,245.09089710535565,557.0,482.4,678.0000000000001,0.0,0.93,6.144356966771988,0.0,45.980097195926874,2.74,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.0
A6,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,117.25675695509551,118.03352518959913,149.4501975385064,1325.0,946.1,1709.4,0.0,0.03,3.929465681346181,2.0880312181232434,56.59729911022859,28.33,,,,,,,,,,,0.0
A6,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,95.10474574885546,97.67636705871197,111.1897244618214,1405.0,1257.9,1784.8000000000002,0.0,0.0,6.121341563113146,0.1741845160235448,58.25998877541753,23.56,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.0
A7,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,140.29408094729493,139.07895049099835,228.81081925809005,966.0,534.0,1356.3,0.0,0.27,5.412806042804914,0.9602760547179888,47.18117825861802,30.53,,,,,,,,,,,0.0
A7,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,100,115.85455087998501,116.15726172183781,139.21396377720887,1269.0,983.3,1641.2,0.0,0.0,9.565501544654559,0.13962155963302753,50.81337871846374,29.89,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0,0.0
A8,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,253.84152540635822,247.13837636538256,369.24687980598605,498.0,320.5,643.9000000000001,0.0,0.98,5.045985610920941,1.1754002090720888,41.57976684416522,11.32,,,,,,,,,,,0.0
A8,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,100,207.83665415965842,209.82671630276684,244.07126263786765,613.0,516.7,735.4000000000001,0.0,0.88,9.451416742139992,0.18902833484279985,47.38465907849024,3.0,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0,0.0
A9,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,75.06192950984011,73.94062123161345,233.84939196940726,2378.0,524.8,3938.3000000000025,0.0,0.19,5.562997942278266,0.8495455864506937,53.418626930518094,41.91,,,,,,,,,,,0.0
