strategy,factory_annual_cost,average_cost_per_filter,cost_saving_rate,average_median_lifetime_years,total_medium_maintenances_per_year,total_major_maintenances_per_year,mean_eol_within_2y_probability,maximum_right_censored_share
当前固定方案,1944.4724133403674,194.44724133403673,0.0,3.043668720054757,49.30714666215302,13.054220015629118,0.4793333333333333,0.0
优化固定周期,1672.6887873899605,167.26887873899605,0.13977242571598933,3.6383299110198495,65.44720205529099,10.839140609135645,0.39566666666666667,0.0
透水率触发,2025.539124838957,202.5539124838957,-0.041690851946480804,3.6186173853524983,47.69666954524244,39.14603135706871,0.3969999999999999,0.0
状态触发,1486.3924952767825,148.63924952767826,0.23558056926951168,3.8521560574948666,75.56035635772821,1.113432235258434,0.35733333333333334,0.0
推荐混合方案,1486.3924952767825,148.63924952767826,0.23558056926951168,3.8521560574948666,75.56035635772821,1.113432235258434,0.35733333333333334,0.0
