device,n_events,envelope_slope_per_year,envelope_decline_per_year,slope_ci_low,slope_ci_high,intercept
A1,12,2.964121326137767,-2.964121326137767,-10.070712337478197,16.366570463188054,100.053743042623
A10,13,-42.42965010806067,42.42965010806067,-47.54602880694856,-37.49914939688315,138.35647598990096
A2,12,-14.403475647930009,14.403475647930009,-18.339650310807865,-6.631897431840528,93.40606007683056
A3,13,-8.708904077010018,8.708904077010018,-16.980489078132972,0.3255882510985346,107.82148829662881
A4,13,17.95474211562271,-17.95474211562271,5.526769676842522,26.562515515053647,92.38376235619033
A5,13,-24.957791270327057,24.957791270327057,-47.79468771979448,-9.490557326484874,121.18713521661019
A6,12,27.197545803543477,-27.197545803543477,12.235692285689193,36.417528349496386,65.43457257702683
A7,13,-11.734587629475023,11.734587629475023,-26.094218097395135,-1.7451017721629307,103.85145957843642
A8,13,-27.688257959371487,27.688257959371487,-34.69281122218272,-20.227778157047556,127.4221475767726
A9,13,-4.63787347068502,4.63787347068502,-10.969048574023958,2.0742480707810174,93.75433870831567
