pre_observations,pre_slope_per_day,naive_gain_3d,counterfactual_gain_3d,effect_day7,effect_day14,effect_day30,retention_day30,event_id,device,event_date,maintenance_type
19,-0.313609359460092,11.275031551505876,12.90805674977374,13.102307850350034,13.982983820598088,15.782490299657319,1.2226852271883577,1,A1,2024-07-19,中维护
20,-0.2618325695488203,6.159718665607443,7.095746599027971,7.425319772162385,8.641224765779333,11.718211739296763,1.6514416877431912,2,A1,2024-10-01,中维护
20,-0.09722517960597771,19.214323763557616,19.49767661317065,19.182471607649845,17.032824174563192,12.620118851822504,0.6472627022287175,3,A1,2024-12-02,大维护
21,-0.3945895848867099,25.235176679854746,26.191881366128232,26.257445610639063,26.55603037643499,25.951026833015113,0.9908042293813764,4,A1,2025-01-21,中维护
14,-0.2745544791970417,31.053076632348038,32.34010939974319,31.66953585398095,29.988161168734546,27.987243379600386,0.8654034849932397,5,A1,2025-03-14,中维护
17,-0.4086126555660285,6.857358380498326,9.092872583562567,8.871447568393151,8.037201483421825,9.031873797831672,0.993291582481738,6,A1,2025-05-10,中维护
20,-0.28413813656985937,6.330223922054884,8.167787876230781,7.786826682039847,7.718390103580058,7.542878468331541,0.9234909846621018,7,A1,2025-06-29,中维护
21,-0.5863408969833326,22.236330632669507,23.665225194498106,23.59629668338824,24.630343432226848,29.949566861299097,1.2655517374185827,8,A1,2025-09-15,中维护
21,-0.15566621211221449,3.6613192400466943,4.644228383087565,2.8292335259232346,0.22690323730107878,-2.7692811399386947,-0.5962844441550972,9,A1,2025-11-14,大维护
20,-0.745807160422364,55.3268075187056,57.01790081962044,57.73082676927984,59.4460081783637,60.98715874533053,1.0696142416443404,10,A1,2026-01-19,中维护
20,-0.6631105737925116,31.24665888918541,34.56358032597917,35.285750145484855,36.59655472186819,40.20563904494492,1.1632371029202953,11,A1,2026-03-07,中维护
11,-0.4286317545036458,21.478544083997036,23.036669128527866,23.69778787225223,24.91543272593639,26.60598219311585,1.154940501366487,12,A10,2024-05-25,中维护
21,-0.2769356792360669,6.795283008205303,8.763296137290359,8.677061081077415,8.725016131315797,11.238830908243564,1.282489000961532,13,A10,2024-07-25,大维护
21,-0.34033673852379753,3.4079111600749883,5.369066781237994,5.454759272088157,5.220874068247108,5.464730222141444,1.0178175174199253,14,A10,2024-10-01,中维护
20,-0.287969986986635,4.570077671047386,7.01383933626973,7.287574426356002,7.152126235474512,4.942350489760958,0.7046569293658099,15,A10,2024-11-20,中维护
21,-0.5261947966169311,27.20087239508665,28.78235730951602,28.49512045751444,28.854399410849283,24.91580402145475,0.8656623831577926,16,A10,2025-01-18,中维护
21,-0.8275308816668552,17.297395118967202,21.288129392825713,22.907600797327596,26.02579440889,31.531072803077137,1.481157513712942,17,A10,2025-02-24,中维护
19,-0.38249036918742974,13.844489250590485,15.599015489869714,15.748276860745753,15.55302597505337,15.261142651798721,0.9783401177920226,18,A10,2025-04-11,大维护
21,-0.4502260286023149,17.40423509809048,19.548685466976707,20.17588333925959,21.009362380691584,23.183953556950502,1.1859597207246901,19,A10,2025-06-05,中维护
21,-0.17693586454357774,4.91126626280635,5.71643362409679,6.37652308490807,6.361402207039004,2.539602791022478,0.4442634967923277,20,A10,2025-08-19,中维护
21,-0.22621158015575712,14.68695922720162,15.841168256362975,17.03181238879764,16.773611598614544,11.018103942586013,0.6955360718525501,21,A10,2025-11-01,中维护
19,-0.4943461468982327,12.413348770812505,14.118331402933526,13.98402604316504,13.157768993948485,11.857746535903107,0.8398830001567529,22,A10,2026-01-01,大维护
20,-0.5671635644370389,19.944243104039295,22.79271990048396,20.442904201272047,18.344772718356495,19.725660816930322,0.8654368984068236,23,A10,2026-02-13,中维护
21,-0.49947243474031305,23.48833062064071,25.90824289315754,26.56650213475232,28.062903734990876,,,24,A10,2026-03-26,中维护
19,-0.3861606463220812,21.562519300304032,22.5813416097829,21.9699123563402,23.21815648416786,23.160367002415185,1.0256417622406206,25,A2,2024-06-04,中维护
