event_id,device,event_date,maintenance_type,post_7d_level,n_days
0,A1,2024-05-18,中维护,104.02762859258938,7
1,A1,2024-07-19,中维护,97.05098238380752,7
2,A1,2024-10-01,中维护,86.8261678398215,7
3,A1,2024-12-02,大维护,101.41162398484694,7
4,A1,2025-01-21,中维护,109.35938450395419,7
5,A1,2025-03-14,中维护,122.34212572940268,7
6,A1,2025-05-10,中维护,107.64564162912033,7
7,A1,2025-06-29,中维护,96.23496027013894,7
8,A1,2025-09-15,中维护,95.18920247268696,7
9,A1,2025-11-14,大维护,83.73365436463718,7
10,A1,2026-01-19,中维护,108.11055105683539,7
11,A1,2026-03-07,中维护,113.27418052844493,7
12,A10,2024-05-25,中维护,139.7402771665034,7
13,A10,2024-07-25,大维护,130.12068179868191,6
14,A10,2024-10-01,中维护,115.5430940101557,7
15,A10,2024-11-20,中维护,105.62746661576739,7
16,A10,2025-01-18,中维护,108.06272499429679,7
17,A10,2025-02-24,中维护,103.568489133874,7
18,A10,2025-04-11,大维护,101.06717363620491,7
19,A10,2025-06-05,中维护,97.78055295537406,7
20,A10,2025-08-19,中维护,83.8801484647599,7
21,A10,2025-11-01,中维护,75.86656049318414,7
22,A10,2026-01-01,大维护,61.779367291774335,7
23,A10,2026-02-13,中维护,58.32458149657708,7
24,A10,2026-03-26,中维护,60.79078804052715,7
25,A2,2024-06-04,中维护,81.99945387074402,7
26,A2,2024-08-16,中维护,82.92988932448438,6
27,A2,2024-11-03,中维护,90.65222674499442,7
28,A2,2025-01-01,中维护,86.86293125134128,7
29,A2,2025-02-20,中维护,84.76395574569602,7
30,A2,2025-04-07,中维护,82.22711524126488,7
31,A2,2025-05-28,中维护,78.58867913473513,7
32,A2,2025-07-21,中维护,77.5973079748095,7
33,A2,2025-10-06,大维护,74.33593587023461,7
34,A2,2025-12-10,大维护,75.01899329904946,7
35,A2,2026-01-29,大维护,71.05064634916135,7
36,A2,2026-03-12,中维护,59.71650412760057,7
37,A3,2024-05-29,中维护,117.47725285204172,3
38,A3,2024-07-18,中维护,107.36564914973721,7
39,A3,2024-09-30,中维护,91.51361909790221,3
40,A3,2024-11-30,中维护,99.29612236426901,7
41,A3,2025-01-17,中维护,106.0472206483483,7
42,A3,2025-03-05,中维护,98.23654960050986,7
43,A3,2025-05-06,中维护,100.54352475116742,5
44,A3,2025-07-02,大维护,91.4638653032192,7
45,A3,2025-09-15,中维护,104.15156318328496,7
46,A3,2025-11-17,大维护,105.25982985519532,7
47,A3,2026-01-20,中维护,99.66694977688226,7
48,A3,2026-02-24,中维护,87.31173235680117,7
49,A3,2026-04-05,中维护,87.3530776229251,5
50,A4,2024-05-28,中维护,81.31283523285983,6
51,A4,2024-07-16,中维护,91.67862097874432,7
52,A4,2024-09-21,中维护,92.76691398757438,7
53,A4,2024-11-20,中维护,93.67480223017685,6
54,A4,2025-01-18,中维护,111.52830864143507,7
55,A4,2025-02-20,中维护,121.91270137853182,7
56,A4,2025-04-10,中维护,110.16129420182166,7
57,A4,2025-06-04,中维护,103.95173912486186,7
58,A4,2025-08-06,中维护,107.96665968857198,7
59,A4,2025-10-10,中维护,95.94911841042995,7
60,A4,2025-12-09,中维护,108.72439272725792,7
61,A4,2026-01-21,中维护,121.91896045915058,7
62,A4,2026-03-12,中维护,124.38724045198047,7
63,A5,2024-05-19,中维护,114.92651113583278,7
64,A5,2024-07-18,中维护,104.19956675365619,7
65,A5,2024-09-21,大维护,98.56967071153625,7
66,A5,2024-11-24,中维护,121.39700676654905,7
67,A5,2025-01-21,中维护,131.09352053793708,7
68,A5,2025-02-25,中维护,120.17177969606888,7
69,A5,2025-04-15,中维护,108.42297008632426,7
70,A5,2025-06-14,中维护,98.49486345652686,7
71,A5,2025-08-19,中维护,83.31862411292491,7
72,A5,2025-11-06,中维护,73.04559267483215,7
73,A5,2026-01-08,中维护,78.58102726133896,7
74,A5,2026-02-26,中维护,69.01987319295507,7
75,A5,2026-04-03,中维护,87.98571932935349,7
76,A6,2024-06-06,中维护,56.99999903399174,7
77,A6,2024-08-27,中维护,65.26959962673016,7
78,A6,2024-11-06,大维护,62.9791891663392,6
79,A6,2024-12-31,中维护,83.6942078576975,7
80,A6,2025-02-19,大维护,83.95329877076013,7
81,A6,2025-04-11,中维护,87.90280684188602,7
82,A6,2025-06-04,中维护,93.00535482135646,7
83,A6,2025-08-23,中维护,105.47238870294673,7
84,A6,2025-11-02,中维护,103.91496547228212,7
85,A6,2026-01-03,中维护,108.37545028806079,7
86,A6,2026-02-15,中维护,96.04661818248853,7
87,A6,2026-03-25,中维护,95.54751001159354,7
88,A7,2024-05-18,中维护,93.15298543575283,7
89,A7,2024-07-04,中维护,93.01686759616685,7
90,A7,2024-09-24,中维护,108.17117552493332,7
