maintenance_type,n_events,n_devices,pre_decline_median,post_decline_median,median_change,mean_change,cluster_ci95_low,cluster_ci95_high,wilcoxon_device_p_value,faster_device_share
中维护,99,10,0.3865163400696393,0.34836937610529006,-0.05045412285077802,-0.03908349690516869,-0.10099299330836113,0.03895274445166025,0.130859375,0.3
大维护,16,8,0.3464520608117664,0.40890287006763393,0.011311404245751125,0.0332538691349973,-0.08325517501005736,0.08920701882976245,0.9453125,0.5
