device,date,predicted_P_mean,predicted_P_std,predicted_P_q05,predicted_P_q95,actual_P,C_mean,F_mean
A1,2025-04-10,105.89523487523465,6.820827428773041,94.38595883251286,116.46933998754187,105.692019298884,120.28947141083532,6.379729646045486
A1,2025-04-11,106.37724980823242,6.124970627789578,96.54589703590283,116.11516387269072,105.0696183235315,120.25245984631891,6.7461072099624815
A1,2025-04-12,104.07486827584933,7.171237531023074,91.40152334789161,115.31775291846985,105.108886392251,120.21532987061431,7.108500926453048
A1,2025-04-13,105.0078886395468,5.820848741562964,96.17806045219628,114.0730180326712,104.881433203962,120.1787634017649,7.475995774710851
A1,2025-04-14,105.87019102387806,6.937618372379461,95.03013342823012,116.85200438121807,104.582233242415,120.13965578597522,7.864546069771398
A1,2025-04-15,103.51450710817244,6.126347494761677,93.36732312025165,112.46509773029014,104.77943768541247,120.10029434901155,8.23829190921848
A1,2025-04-16,104.2134864423526,6.970125023933158,92.79807851108143,116.3329995923146,103.8463905431675,120.06210830491337,8.591898600254208
A1,2025-04-17,101.80692393676082,6.429567999558993,91.1816782611347,113.29415806545363,102.9659597884255,120.02507963873782,8.957696466322753
A1,2025-04-18,103.4278590773205,5.460778266101448,94.65246081982505,113.5638530203995,103.693056010506,119.98986878034322,9.328428253406793
A1,2025-04-19,102.6321972640732,6.332883641508694,93.4975962538459,113.5731675510538,103.472988668212,119.9566759174029,9.698718697167678
A1,2025-04-20,102.83252851715028,5.927849705180415,93.97233598554737,111.05222788590606,103.410631114051,119.92134936814509,10.04561871903174
A1,2025-04-21,103.02311716831477,6.2414268964650645,91.89525077056686,114.2287303769897,102.683511422107,119.88487678589154,10.407921248332343
A1,2025-04-22,102.04858317823903,6.382318027839851,90.86810267982453,112.11135773647004,102.873577315428,119.84920679789325,10.775941647802949
A1,2025-04-23,102.51259474702807,6.403821171392856,93.47357964107215,112.35659022684818,102.5160366855545,119.81481199841983,11.138693185540847
A1,2025-04-24,102.67667246180658,6.361306449999815,93.84805309655133,112.68605854192604,102.226558206332,119.78132784894042,11.515587597715342
A1,2025-04-25,102.90675019138655,7.414305231486544,91.16770492691951,113.93109077633966,101.445597881667,119.74410267413523,11.87217918197385
A1,2025-04-26,101.39018966908172,5.7132832122431605,92.99297389711042,111.0044380631361,101.43329285324,119.70901904217654,12.23399540914485
A1,2025-04-27,101.63944882315536,7.022345945467911,90.08644092029368,112.6465774324204,100.6126205228705,119.67478547594216,12.58441980411074
A1,2025-04-28,101.4897185192892,6.230014802134976,92.68748827826983,112.62582758707981,101.26772066264,119.63761111679092,12.947853200602221
A1,2025-04-29,100.43242539692815,6.653700992473409,90.57196916228537,110.1627557624469,100.889331270912,119.60302332107148,13.311151836052757
A1,2025-04-30,100.74638424437089,5.956325207064422,90.11133349954159,109.25614982232017,99.3039807262824,119.56576187354183,13.670608993114033
A1,2025-05-01,100.86167917217394,6.565175430719766,89.8732912077175,110.17129193978926,,119.5285357636591,14.032549292675744
A1,2025-05-02,101.83255233010556,6.187939603062609,91.96840269159296,110.93137216859215,,119.49079912295979,14.397757149961949
A1,2025-05-03,100.27526182531052,6.739002184686548,90.49032450798342,109.15767670684188,,119.45390547872623,14.754251158705717
A1,2025-05-04,100.6679530556312,6.565959861813395,90.72335641139465,110.0090093044037,,119.41762857410798,15.11629549592803
A1,2025-05-05,99.44860844851526,5.418881706162432,89.53679724090745,108.18003277392481,99.1792667841761,119.38237098411126,15.466048043633535
A1,2025-05-06,99.75909664404725,6.77990578804486,86.65714435039979,110.3329662017345,99.2658838337938,119.34606764869964,15.829274881396673
A1,2025-05-07,99.8195903144572,6.172538937264785,89.8729552452256,109.86276010390569,99.46927167665083,119.31122206959058,16.19107271747096
A1,2025-05-08,99.88981536736277,5.811965120347024,89.7245168816809,109.15482133674878,98.6388629895646,119.27795498133347,16.555187876579033
A1,2025-05-09,98.6379918108394,5.599812310778598,89.4585337179696,108.33605719589939,98.99698506949336,119.24566309414818,16.900748767133965
A1,2025-05-10,99.32602735899391,6.381369719704503,89.57160045137712,110.1664142518671,,118.7998454027601,0.0
A1,2025-05-11,116.09933152740379,6.67639873575121,107.59707773984084,126.70333673494237,107.04536145571,118.7643440906883,0.365118543690315
A1,2025-05-12,115.13920031987527,7.212885717908892,103.73286266713293,125.8881495264875,106.579016923193,118.73073094499037,0.7162363140573317
A1,2025-05-13,115.97892441597853,7.558343334414304,104.26633521835336,128.13578730518154,106.205773570754,118.6954595483266,1.0709336571431076
A1,2025-05-14,114.26118568820502,6.720916299266431,104.90065885295135,126.5310981268349,106.579308964153,118.66158131761587,1.438611884867287
A1,2025-05-15,115.49072894804924,6.376439714943278,105.38118903057732,125.59325117215126,106.458920931157,118.62500863848217,1.801013974431328
A1,2025-05-16,115.57509811293747,6.872161920473685,103.8521084359221,126.4067887866784,105.081703250551,118.59266725951706,2.1679591837241663
A1,2025-05-17,115.80243438408253,6.4310577461622636,105.32832677960853,125.1750852100137,105.250525853643,118.55807822609334,2.529196609915125
