device,n_days,MAE,RMSE,bias,coverage_90pct
A1,350,15.556871609794216,16.978230347639744,-11.665841724580911,0.45714285714285713
A10,355,8.416532918406633,10.293822797568204,-7.63539741100373,0.6338028169014085
A2,353,3.216283965203495,3.743890291617967,0.3989477304353788,1.0
A3,356,4.367203737731562,5.580505160918578,2.7703108202957787,0.9550561797752809
A4,345,10.690491423066934,11.969480764739117,-4.52959807090177,0.8492753623188406
A5,356,25.567255596425582,26.52501125349575,-25.567255596425582,0.12359550561797752
A6,351,22.78820171574856,24.47232636957945,22.786785481130998,0.21082621082621084
A7,349,10.87843539537257,12.86917051585074,-9.535237515842514,0.7507163323782235
A8,351,4.946361083913996,6.526583632653859,-3.538328921823557,0.8433048433048433
A9,345,4.55717802106842,5.661949054317414,-2.3226097816954967,0.9072463768115943
