device,strategy,candidate_id,family,policy_label,n_runs,renewal_annual_cost,median_annual_cost,p90_annual_cost,median_lifetime_days,p10_lifetime_days,p90_lifetime_days,right_censored_share,eol_within_2y_probability,medium_maintenances_per_year,major_maintenances_per_year,mean_simulated_permeability,mean_annual_below_threshold_days,label,medium_gap,major_gap,medium_between_major,medium_trigger,major_trigger,fouling_trigger,reserve_threshold,min_gap,max_gap
A4,第四问候选复核,S34,状态触发,堵塞损失≥20触发，维护后储备阈值60，冷却21日,200,68.30745081917433,69.76925366686913,83.89314917127072,2060.0,1684.9,2741.2,0.0,0.0,5.473878452935433,0.05801492125929075,70.65682858522351,25.055,堵塞损失≥20触发，维护后储备阈值60，冷却21日,,,4,,,20.0,60.0,21,150
A4,第四问候选复核,S36,状态触发,堵塞损失≥30触发，维护后储备阈值50，冷却21日,200,68.61445577680912,69.42603242395711,88.01001774622893,2002.0,1615.4,2527.0,0.0,0.0,4.4244512709701995,0.06546660326959604,67.06518514149084,31.535,堵塞损失≥30触发，维护后储备阈值50，冷却21日,,,4,,,30.0,50.0,21,150
A4,第四问候选复核,S37,状态触发,堵塞损失≥30触发，维护后储备阈值50，冷却35日,200,68.61445577680912,69.42603242395711,88.01001774622893,2002.0,1615.4,2527.0,0.0,0.0,4.4244512709701995,0.06546660326959604,67.06518514149084,31.535,堵塞损失≥30触发，维护后储备阈值50，冷却35日,,,4,,,30.0,50.0,35,150
A4,第四问候选复核,S38,状态触发,堵塞损失≥30触发，维护后储备阈值60，冷却21日,200,68.73374153827761,69.42603242395711,88.01001774622893,2002.0,1615.4,2527.0,0.0,0.0,4.408318265365591,0.07732295760546332,67.08011979301926,30.705,堵塞损失≥30触发，维护后储备阈值60，冷却21日,,,4,,,30.0,60.0,21,150
A4,第四问候选复核,S39,状态触发,堵塞损失≥30触发，维护后储备阈值60，冷却35日,200,68.73374153827761,69.42603242395711,88.01001774622893,2002.0,1615.4,2527.0,0.0,0.0,4.408318265365591,0.07732295760546332,67.08011979301926,30.705,堵塞损失≥30触发，维护后储备阈值60，冷却35日,,,4,,,30.0,60.0,35,150
A5,第四问候选复核,S28,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却21日,200,210.2090913839379,213.01688440737604,248.5433776085866,608.0,515.8,740.3,0.0,0.89,11.367651194934187,0.0,48.06699481489057,1.84,堵塞损失≥10触发，维护后储备阈值50，冷却21日,,,4,,,10.0,50.0,21,150
A5,第四问候选复核,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,200,205.08642800375696,209.65304286608261,242.53923135960704,604.0,512.8,745.9,0.0,0.87,9.71994436818149,0.0,47.778646525464744,1.895,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A5,第四问候选复核,S31,状态触发,堵塞损失≥10触发，维护后储备阈值60，冷却35日,200,205.08642800375696,209.65304286608261,242.53923135960704,604.0,512.8,745.9,0.0,0.87,9.71994436818149,0.0,47.778646525464744,1.895,堵塞损失≥10触发，维护后储备阈值60，冷却35日,,,4,,,10.0,60.0,35,150
A5,第四问候选复核,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,200,203.5997921217079,208.48401472924326,246.30049503018853,576.0,495.7,709.5999999999999,0.0,0.92,6.262097420285212,0.0,46.323533075679045,2.235,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A5,第四问候选复核,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,200,204.46418305308947,208.48401472924326,249.23914354066983,575.0,484.5,709.5999999999999,0.0,0.92,6.212777594057643,0.0,46.160531268706976,2.23,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4,,,20.0,50.0,35,150
A5,第四问候选复核,S34,状态触发,堵塞损失≥20触发，维护后储备阈值60，冷却21日,200,203.5997921217079,208.48401472924326,246.30049503018853,576.0,495.7,709.5999999999999,0.0,0.92,6.262097420285212,0.0,46.323533075679045,2.235,堵塞损失≥20触发，维护后储备阈值60，冷却21日,,,4,,,20.0,60.0,21,150
A5,第四问候选复核,S35,状态触发,堵塞损失≥20触发，维护后储备阈值60，冷却35日,200,204.46418305308947,208.48401472924326,249.23914354066983,575.0,484.5,709.5999999999999,0.0,0.92,6.212777594057643,0.0,46.160531268706976,2.23,堵塞损失≥20触发，维护后储备阈值60，冷却35日,,,4,,,20.0,60.0,35,150
A6,第四问候选复核,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,200,91.29188384154403,93.3788428905024,111.91490875167148,1491.0,1264.9,2004.2,0.0,0.0,6.3556671354203615,0.12840921552563844,58.42200107753177,29.585,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A6,第四问候选复核,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,200,91.28746536659001,93.3788428905024,111.85403214314321,1491.0,1264.9,2004.2,0.0,0.0,6.353495434356988,0.1284129431383111,58.42178390012352,29.58,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4,,,20.0,50.0,35,150
A6,第四问候选复核,S34,状态触发,堵塞损失≥20触发，维护后储备阈值60，冷却21日,200,91.73697896490278,93.3788428905024,113.61738983413547,1491.0,1264.9,2004.2,0.0,0.0,6.303512628806074,0.17332891066862943,58.42625685907202,29.475,堵塞损失≥20触发，维护后储备阈值60，冷却21日,,,4,,,20.0,60.0,21,150
A7,第四问候选复核,S28,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却21日,200,123.74142546808731,122.76868350077245,152.19390789473684,1259.0,919.8,1514.5999999999992,0.0,0.01,11.020597910416882,0.0,50.99055355845215,19.475,堵塞损失≥10触发，维护后储备阈值50，冷却21日,,,4,,,10.0,50.0,21,150
A7,第四问候选复核,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,200,120.4650554701253,117.16932530839335,149.2064622527566,1262.0,917.4,1513.2999999999993,0.0,0.005,9.737972196913791,0.07528971854734647,50.761316130172,20.25,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A7,第四问候选复核,S30,状态触发,堵塞损失≥10触发，维护后储备阈值60，冷却21日,200,123.74142546808731,122.76868350077245,152.19390789473684,1259.0,919.8,1514.5999999999992,0.0,0.01,11.020597910416882,0.0,50.99055355845215,19.475,堵塞损失≥10触发，维护后储备阈值60，冷却21日,,,4,,,10.0,60.0,21,150
A7,第四问候选复核,S31,状态触发,堵塞损失≥10触发，维护后储备阈值60，冷却35日,200,120.62780382792879,117.16932530839335,150.18503289473682,1262.0,917.4,1513.2999999999993,0.0,0.005,9.721683348386058,0.09037821520036621,50.76023698862846,20.495,堵塞损失≥10触发，维护后储备阈值60，冷却35日,,,4,,,10.0,60.0,35,150
A7,第四问候选复核,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,200,129.42678220172286,131.31503969900484,165.19370289438584,1074.0,904.8,1299.4,0.0,0.01,4.527121345723394,1.3956284338330054,48.40530025830432,32.38,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A7,第四问候选复核,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,200,129.437358102302,131.31503969900484,165.19370289438584,1074.0,904.8,1299.4,0.0,0.01,4.517926597621093,1.3975012437248426,48.39197956565861,32.96,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4,,,20.0,50.0,35,150
A7,第四问候选复核,S35,状态触发,堵塞损失≥20触发，维护后储备阈值60，冷却35日,200,134.46300728218347,137.4958362917961,176.5381191775122,1066.0,902.0,1292.5,0.0,0.01,3.847503381501706,1.9262468291305557,48.41157938909171,32.995,堵塞损失≥20触发，维护后储备阈值60，冷却35日,,,4,,,20.0,60.0,35,150
A8,第四问候选复核,S28,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却21日,200,226.84982318167422,231.15846955796496,273.996158993576,551.0,463.8,680.1,0.0,0.955,11.355022168267707,0.0,46.59778489955393,1.56,堵塞损失≥10触发，维护后储备阈值50，冷却21日,,,4,,,10.0,50.0,21,150
A8,第四问候选复核,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,200,221.9230796156606,226.23204667863556,268.0081168831169,557.0,464.7,691.1,0.0,0.945,9.678290774804417,0.0926916883980608,46.31890586471335,1.565,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A8,第四问候选复核,S31,状态触发,堵塞损失≥10触发，维护后储备阈值60，冷却35日,200,221.95573062517502,226.23204667863556,268.0081168831169,557.0,464.7,691.1,0.0,0.945,9.675263844161298,0.0958896317558107,46.320222334944994,1.565,堵塞损失≥10触发，维护后储备阈值60，冷却35日,,,4,,,10.0,60.0,35,150
A8,第四问候选复核,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,200,235.23628476652206,234.65386149340446,304.40406023755656,524.0,422.9,636.2,0.0,0.98,5.5781803748121686,0.949257180119645,44.11983351160079,4.68,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A9,第四问候选复核,S28,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却21日,200,66.1412768660926,66.87995897580277,81.0206503312944,3473.0,2734.8,4317.1,0.0,0.0,11.535211921235005,0.0,58.043377407906625,24.675,堵塞损失≥10触发，维护后储备阈值50，冷却21日,,,4,,,10.0,50.0,21,150
