scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost
medium_major_1.20_1.50,中维护价×大维护价,1.0,1.2,1.5,300.0,3.5999999999999996,18.0
medium_major_1.30_0.50,中维护价×大维护价,1.0,1.3,0.5,300.0,3.9000000000000004,6.0
medium_major_1.30_0.60,中维护价×大维护价,1.0,1.3,0.6,300.0,3.9000000000000004,7.199999999999999
medium_major_1.30_0.70,中维护价×大维护价,1.0,1.3,0.7,300.0,3.9000000000000004,8.399999999999999
medium_major_1.30_0.80,中维护价×大维护价,1.0,1.3,0.8,300.0,3.9000000000000004,9.600000000000001
medium_major_1.30_0.90,中维护价×大维护价,1.0,1.3,0.9,300.0,3.9000000000000004,10.8
medium_major_1.30_1.00,中维护价×大维护价,1.0,1.3,1.0,300.0,3.9000000000000004,12.0
medium_major_1.30_1.10,中维护价×大维护价,1.0,1.3,1.1,300.0,3.9000000000000004,13.200000000000001
medium_major_1.30_1.20,中维护价×大维护价,1.0,1.3,1.2,300.0,3.9000000000000004,14.399999999999999
medium_major_1.30_1.30,中维护价×大维护价,1.0,1.3,1.3,300.0,3.9000000000000004,15.600000000000001
medium_major_1.30_1.40,中维护价×大维护价,1.0,1.3,1.4,300.0,3.9000000000000004,16.799999999999997
medium_major_1.30_1.50,中维护价×大维护价,1.0,1.3,1.5,300.0,3.9000000000000004,18.0
medium_major_1.40_0.50,中维护价×大维护价,1.0,1.4,0.5,300.0,4.199999999999999,6.0
medium_major_1.40_0.60,中维护价×大维护价,1.0,1.4,0.6,300.0,4.199999999999999,7.199999999999999
medium_major_1.40_0.70,中维护价×大维护价,1.0,1.4,0.7,300.0,4.199999999999999,8.399999999999999
medium_major_1.40_0.80,中维护价×大维护价,1.0,1.4,0.8,300.0,4.199999999999999,9.600000000000001
medium_major_1.40_0.90,中维护价×大维护价,1.0,1.4,0.9,300.0,4.199999999999999,10.8
medium_major_1.40_1.00,中维护价×大维护价,1.0,1.4,1.0,300.0,4.199999999999999,12.0
medium_major_1.40_1.10,中维护价×大维护价,1.0,1.4,1.1,300.0,4.199999999999999,13.200000000000001
medium_major_1.40_1.20,中维护价×大维护价,1.0,1.4,1.2,300.0,4.199999999999999,14.399999999999999
medium_major_1.40_1.30,中维护价×大维护价,1.0,1.4,1.3,300.0,4.199999999999999,15.600000000000001
medium_major_1.40_1.40,中维护价×大维护价,1.0,1.4,1.4,300.0,4.199999999999999,16.799999999999997
medium_major_1.40_1.50,中维护价×大维护价,1.0,1.4,1.5,300.0,4.199999999999999,18.0
medium_major_1.50_0.50,中维护价×大维护价,1.0,1.5,0.5,300.0,4.5,6.0
medium_major_1.50_0.60,中维护价×大维护价,1.0,1.5,0.6,300.0,4.5,7.199999999999999
medium_major_1.50_0.70,中维护价×大维护价,1.0,1.5,0.7,300.0,4.5,8.399999999999999
medium_major_1.50_0.80,中维护价×大维护价,1.0,1.5,0.8,300.0,4.5,9.600000000000001
medium_major_1.50_0.90,中维护价×大维护价,1.0,1.5,0.9,300.0,4.5,10.8
medium_major_1.50_1.00,中维护价×大维护价,1.0,1.5,1.0,300.0,4.5,12.0
medium_major_1.50_1.10,中维护价×大维护价,1.0,1.5,1.1,300.0,4.5,13.200000000000001
medium_major_1.50_1.20,中维护价×大维护价,1.0,1.5,1.2,300.0,4.5,14.399999999999999
medium_major_1.50_1.30,中维护价×大维护价,1.0,1.5,1.3,300.0,4.5,15.600000000000001
medium_major_1.50_1.40,中维护价×大维护价,1.0,1.5,1.4,300.0,4.5,16.799999999999997
medium_major_1.50_1.50,中维护价×大维护价,1.0,1.5,1.5,300.0,4.5,18.0
