scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost
purchase_maintenance_0.50_1.50,购置价×维护价,0.5,1.5,1.5,150.0,4.5,18.0
purchase_maintenance_0.60_0.50,购置价×维护价,0.6,0.5,0.5,180.0,1.5,6.0
purchase_maintenance_0.60_0.60,购置价×维护价,0.6,0.6,0.6,180.0,1.7999999999999998,7.199999999999999
purchase_maintenance_0.60_0.70,购置价×维护价,0.6,0.7,0.7,180.0,2.0999999999999996,8.399999999999999
purchase_maintenance_0.60_0.80,购置价×维护价,0.6,0.8,0.8,180.0,2.4000000000000004,9.600000000000001
purchase_maintenance_0.60_0.90,购置价×维护价,0.6,0.9,0.9,180.0,2.7,10.8
purchase_maintenance_0.60_1.00,购置价×维护价,0.6,1.0,1.0,180.0,3.0,12.0
purchase_maintenance_0.60_1.10,购置价×维护价,0.6,1.1,1.1,180.0,3.3000000000000003,13.200000000000001
purchase_maintenance_0.60_1.20,购置价×维护价,0.6,1.2,1.2,180.0,3.5999999999999996,14.399999999999999
purchase_maintenance_0.60_1.30,购置价×维护价,0.6,1.3,1.3,180.0,3.9000000000000004,15.600000000000001
purchase_maintenance_0.60_1.40,购置价×维护价,0.6,1.4,1.4,180.0,4.199999999999999,16.799999999999997
purchase_maintenance_0.60_1.50,购置价×维护价,0.6,1.5,1.5,180.0,4.5,18.0
purchase_maintenance_0.70_0.50,购置价×维护价,0.7,0.5,0.5,210.0,1.5,6.0
purchase_maintenance_0.70_0.60,购置价×维护价,0.7,0.6,0.6,210.0,1.7999999999999998,7.199999999999999
purchase_maintenance_0.70_0.70,购置价×维护价,0.7,0.7,0.7,210.0,2.0999999999999996,8.399999999999999
purchase_maintenance_0.70_0.80,购置价×维护价,0.7,0.8,0.8,210.0,2.4000000000000004,9.600000000000001
purchase_maintenance_0.70_0.90,购置价×维护价,0.7,0.9,0.9,210.0,2.7,10.8
purchase_maintenance_0.70_1.00,购置价×维护价,0.7,1.0,1.0,210.0,3.0,12.0
purchase_maintenance_0.70_1.10,购置价×维护价,0.7,1.1,1.1,210.0,3.3000000000000003,13.200000000000001
purchase_maintenance_0.70_1.20,购置价×维护价,0.7,1.2,1.2,210.0,3.5999999999999996,14.399999999999999
purchase_maintenance_0.70_1.30,购置价×维护价,0.7,1.3,1.3,210.0,3.9000000000000004,15.600000000000001
purchase_maintenance_0.70_1.40,购置价×维护价,0.7,1.4,1.4,210.0,4.199999999999999,16.799999999999997
purchase_maintenance_0.70_1.50,购置价×维护价,0.7,1.5,1.5,210.0,4.5,18.0
purchase_maintenance_0.80_0.50,购置价×维护价,0.8,0.5,0.5,240.0,1.5,6.0
purchase_maintenance_0.80_0.60,购置价×维护价,0.8,0.6,0.6,240.0,1.7999999999999998,7.199999999999999
purchase_maintenance_0.80_0.70,购置价×维护价,0.8,0.7,0.7,240.0,2.0999999999999996,8.399999999999999
purchase_maintenance_0.80_0.80,购置价×维护价,0.8,0.8,0.8,240.0,2.4000000000000004,9.600000000000001
purchase_maintenance_0.80_0.90,购置价×维护价,0.8,0.9,0.9,240.0,2.7,10.8
purchase_maintenance_0.80_1.00,购置价×维护价,0.8,1.0,1.0,240.0,3.0,12.0
purchase_maintenance_0.80_1.10,购置价×维护价,0.8,1.1,1.1,240.0,3.3000000000000003,13.200000000000001
purchase_maintenance_0.80_1.20,购置价×维护价,0.8,1.2,1.2,240.0,3.5999999999999996,14.399999999999999
purchase_maintenance_0.80_1.30,购置价×维护价,0.8,1.3,1.3,240.0,3.9000000000000004,15.600000000000001
purchase_maintenance_0.80_1.40,购置价×维护价,0.8,1.4,1.4,240.0,4.199999999999999,16.799999999999997
purchase_maintenance_0.80_1.50,购置价×维护价,0.8,1.5,1.5,240.0,4.5,18.0
purchase_maintenance_0.90_0.50,购置价×维护价,0.9,0.5,0.5,270.0,1.5,6.0
purchase_maintenance_0.90_0.60,购置价×维护价,0.9,0.6,0.6,270.0,1.7999999999999998,7.199999999999999
