scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost,optimal_factory_annual_cost,original_plan_annual_cost,absolute_regret,relative_regret,original_plan_near_optimal_5pct,replacement_rate_per_year,medium_maintenances_per_year,major_maintenances_per_year,average_median_lifetime_years,fixed_policy_devices,threshold_policy_devices,state_policy_devices
purchase_0.50,购置价单因素,0.5,1.0,1.0,150.0,3.0,12.0,860.8407348907137,862.7526221329606,1.9118872422468485,0.002220953499011136,True,4.178469779075579,73.29484363827565,1.1821447595458294,3.7984941820670777,0,0,10
medium_0.50,中维护价单因素,1.0,0.5,1.0,300.0,1.5,12.0,1365.054943348844,1371.7282327013875,6.6732893525434065,0.004888659892452422,True,4.100800077867914,86.09909998540383,0.47218916753033385,3.92580424366872,0,0,10
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,1477.8407345288042,1477.9984932380935,0.1577587092892827,0.00010674946603064275,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0,923.5138739590375,924.9765338425623,1.4626598835247933,0.0015837984948233379,True,4.177242709156452,73.37185940337943,1.1794373948403813,3.79958932238193,0,0,10
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,1377.8704980123184,1383.0545833541464,5.184085341827995,0.0037623893895009923,True,4.106200715425405,85.05697780262591,0.47218916753033385,3.92580424366872,0,0,10
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,1478.538436945637,1478.697817837182,0.15938089154496993,0.00010779624496892946,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_0.60,购置价单因素,0.6,1.0,1.0,180.0,3.0,12.0,986.1725145963842,987.2004455521638,1.0279309557796523,0.0010423439515553309,True,4.177242709156452,73.37185940337943,1.1794373948403813,3.79958932238193,0,0,10
medium_0.60,中维护价单因素,1.0,0.6,1.0,300.0,1.7999999999999998,12.0,1390.6290446827124,1394.3809340069054,3.7518893241929163,0.0026979799814615202,True,4.106200715425405,85.05697780262591,0.47218916753033385,3.92580424366872,0,0,10
major_0.60,大维护价单因素,1.0,1.0,0.6,300.0,3.0,7.199999999999999,1479.2361393624692,1479.3971424362703,0.1610030738011119,0.00010884203645166623,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_0.65,购置价单因素,0.65,1.0,1.0,195.0,3.0,12.0,1048.5906744336758,1049.4243572617654,0.8336828280896498,0.0007950507747362014,True,4.158273256473192,74.52375290724272,1.1796775583062504,3.840109514031485,0,0,10
medium_0.65,中维护价单因素,1.0,0.65,1.0,300.0,1.9500000000000002,12.0,1403.0794259546906,1405.7072846596643,2.6278587049737325,0.0018729222710864506,True,4.1104361017605235,81.04838864727623,0.992019797028744,3.8666666666666667,0,0,10
major_0.65,大维护价单因素,1.0,1.0,0.65,300.0,3.0,7.800000000000001,1479.933841779302,1480.0964670353587,0.16262525605679912,0.00010988684187482141,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_0.70,购置价单因素,0.7,1.0,1.0,210.0,3.0,12.0,1110.9647732807734,1111.648268971367,0.6834956905936451,0.0006152271494398731,True,4.158273256473192,74.52375290724272,1.1796775583062504,3.840109514031485,0,0,10
medium_0.70,中维护价单因素,1.0,0.7,1.0,300.0,2.0999999999999996,12.0,1415.1668687518832,1417.033635312423,1.8667665605398724,0.0013191140930159573,True,4.117417533838461,79.04169536366277,1.1628373613877443,3.8636550308008215,0,0,10
major_0.70,大维护价单因素,1.0,1.0,0.7,300.0,3.0,8.399999999999999,1480.6315441961347,1480.7957916344467,0.1642474383120316,0.00011093066263234646,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_0.75,购置价单因素,0.75,1.0,1.0,225.0,3.0,12.0,1173.3388721278716,1173.8721806809685,0.5333085530969583,0.0004545221894249472,True,4.158273256473192,74.52375290724272,1.1796775583062504,3.840109514031485,0,0,10
medium_0.75,中维护价单因素,1.0,0.75,1.0,300.0,2.25,12.0,1427.0231230564325,1428.359985965182,1.336862908749481,0.0009368193739469027,True,4.117417533838461,79.04169536366277,1.1628373613877443,3.8636550308008215,0,0,10
major_0.75,大维护价单因素,1.0,1.0,0.75,300.0,3.0,9.0,1481.3292466129674,1481.495116233535,0.1658696205677188,0.00011197350011618059,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_0.80,购置价单因素,0.8,1.0,1.0,240.0,3.0,12.0,1235.7129709749695,1236.0960923905704,0.3831214156009537,0.0003100407817995739,True,4.158273256473192,74.52375290724272,1.1796775583062504,3.840109514031485,0,0,10
medium_0.80,中维护价单因素,1.0,0.8,1.0,300.0,2.4000000000000004,12.0,1438.8793773609818,1439.6863366179412,0.8069592569593169,0.0005608248124588065,True,4.117417533838461,79.04169536366277,1.1628373613877443,3.8636550308008215,0,0,10
major_0.80,大维护价单因素,1.0,1.0,0.8,300.0,3.0,9.600000000000001,1482.0269490298,1482.1944408326235,0.16749180282340603,0.00011301535571472132,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
purchase_0.85,购置价单因素,0.85,1.0,1.0,255.0,3.0,12.0,1298.0870698220672,1298.320004100172,0.23293427810472167,0.00017944426342421754,True,4.158273256473192,74.52375290724272,1.1796775583062504,3.840109514031485,0,0,10
medium_0.85,中维护价单因素,1.0,0.85,1.0,300.0,2.55,12.0,1450.7356316655314,1451.0126872706999,0.2770556051684707,0.00019097594290862926,True,4.117417533838461,79.04169536366277,1.1628373613877443,3.8636550308008215,0,0,10
major_0.85,大维护价单因素,1.0,1.0,0.85,300.0,3.0,10.2,1482.7246514466328,1482.8937654317115,0.1691139850786385,0.00011405623081375292,True,4.147040550377261,75.58384841576648,1.1628373613877443,3.8559890485968515,0,0,10
