scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost,device,optimal_candidate_id,optimal_family,optimal_policy_label,optimal_annual_cost,original_candidate_id,original_annual_cost,absolute_regret,relative_regret,replacement_rate_per_year,medium_maintenances_per_year,major_maintenances_per_year,median_lifetime_days,eol_within_2y_probability
medium_0.50,中维护价单因素,1.0,0.5,1.0,300.0,1.5,12.0,A9,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,47.10717289121265,S33,48.88795831725203,1.7807854260393796,0.037802850749541934,0.1051012597763595,9.854819622930346,0.06621379365910647,3487.0,0.005
medium_0.50,中维护价单因素,1.0,0.5,1.0,300.0,1.5,12.0,A10,S28,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却21日,368.0290952258521,S29,368.0861032189326,0.05700799308050364,0.00015490077773747473,1.1738522601275891,10.582278125050218,0.0,308.0,1.0
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A1,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,80.34187390772817,S32,80.34187390772817,0.0,0.0,0.19978831463992977,6.783812223598816,0.00899047415879684,1785.0,0.0
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A2,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,188.64566215302258,S29,188.64566215302258,0.0,0.0,0.5255925057200005,9.98100168362281,0.1708175643590002,681.0,0.66
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A3,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,69.17279341452834,S32,69.17279341452834,0.0,0.0,0.17037424025450018,5.916245492837518,0.05196414327762255,2093.0,0.0
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A4,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,67.9310896724723,S32,67.9310896724723,0.0,0.0,0.1706189696529463,5.484546779493959,0.048626406351089696,2060.0,0.0
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A5,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,203.5997921217079,S32,203.5997921217079,0.0,0.0,0.6160449995361742,6.262097420285212,0.0,576.0,0.92
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A6,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,90.51698770776014,S32,90.5214285483902,0.004440840630067555,4.906085302357931e-05,0.2356200791528644,6.353495434356988,0.1284129431383111,1491.0,0.0
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A7,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,120.0133171588412,S29,120.0133171588412,0.0,0.0,0.30115887418938586,9.737972196913791,0.07528971854734647,1262.0,0.005
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0,A8,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,221.36692948527224,S29,221.36692948527224,0.0,0.0,0.6392530234349021,9.678290774804417,0.0926916883980608,557.0,0.945
